category,tag,domain,source,environment,scenario,file
mass/thin,narrow,electronic,flash,studio,the narrow flash recycle sound,narrow/narrow_electronic_0096.mp3
mass/thin,narrow,electronic,sensor,warehouse,the narrow chirp of a sensor,narrow/narrow_electronic_0097.mp3
mass/thin,narrow,electronic,battery,garage,the narrow whine of a battery,narrow/narrow_electronic_0098.mp3
mass/thin,narrow,electronic,oscillator,lab,the narrow tone of an oscillator,narrow/narrow_electronic_0099.mp3
mass/thin,narrow,electronic,charger,bedroom,the narrow hum of a charger,narrow/narrow_electronic_0100.mp3
mass/thin,narrow,electronic,smartwatch,gym,the narrow beep of a watch,narrow/narrow_electronic_0101.mp3
mass/thin,narrow,electronic,earbuds,bus,the narrow sound from earbuds,narrow/narrow_electronic_0102.mp3
mass/thin,thin,musical,silver wire,glass conservatory,a single silver wire vibrating against a glass bridge,thin/thin_musical_0102.mp3
mass/thin,thin,musical,mandolin string,stone courtyard,a mandolin string being plucked with a plastic plectrum,thin/thin_musical_0103.mp3
mass/thin,thin,musical,piccolo,mountain peak,a piccolo playing a short staccato note in a cold wind,thin/thin_musical_0104.mp3
mass/thin,thin,musical,toy piano,dusty attic,a toy piano key striking a metal tine,thin/thin_musical_0105.mp3
mass/thin,thin,musical,triangle,orchestra pit,a triangle being struck by a very thin metal beater,thin/thin_musical_0106.mp3
mass/thin,thin,musical,harpsichord,marble ballroom,a harpsichord string being plucked by a quill,thin/thin_musical_0107.mp3
mass/thin,thin,musical,violin,tiled bathroom,a violin playing in the highest register with a light bow,thin/thin_musical_0108.mp3
mass/thin,thin,musical,glockenspiel,empty hall,a glockenspiel struck with a hard plastic mallet,thin/thin_musical_0109.mp3
mass/thin,thin,musical,ukulele,beach,a ukulele string being snapped on a windy shoreline,thin/thin_musical_0110.mp3
mass/thin,thin,musical,cymbals,rehearsal room,a pair of finger cymbals clashing together once,thin/thin_musical_0111.mp3
mass/thin,thin,musical,banjo,front porch,a banjo string being plucked near the bridge,thin/thin_musical_0112.mp3
mass/thin,thin,musical,music box,nursery,a music box mechanism playing on a metal tray,thin/thin_musical_0113.mp3
mass/thin,thin,musical,sitar,temple,a sitar string vibrating against a metal fret,thin/thin_musical_0114.mp3
mass/thin,thin,musical,bell lyre,parade route,a bell lyre being struck during a city parade,thin/thin_musical_0115.mp3
mass/thin,thin,musical,zither,tea house,a zither string being plucked in a traditional tea house,thin/thin_musical_0116.mp3
mass/thin,thin,musical,kalimba,jungle,a kalimba tine being flicked with a fingernail,thin/thin_musical_0117.mp3
mass/thin,thin,musical,soprano saxophone,subway station,a soprano saxophone note echoing in a tiled station,thin/thin_musical_0118.mp3
mass/thin,thin,mechanical,needle,sewing room,a sewing machine needle piercing a piece of silk,thin/thin_mechanical_0119.mp3
mass/thin,thin,mechanical,pocket watch,clockmaker shop,a pocket watch ticking on a wooden workbench,thin/thin_mechanical_0120.mp3
mass/thin,thin,mechanical,camera shutter,art gallery,a vintage camera shutter clicking in a silent gallery,thin/thin_mechanical_0121.mp3
mass/thin,thin,mechanical,bicycle bell,busy park,a bicycle bell ringing in a crowded public park,thin/thin_mechanical_0122.mp3
mass/thin,thin,mechanical,typewriter,quiet library,a typewriter key striking a thin sheet of paper,thin/thin_mechanical_0123.mp3
mass/thin,thin,mechanical,brass gears,watch factory,small brass gears meshing in a precision factory,thin/thin_mechanical_0124.mp3
mass/thin,thin,mechanical,metal shears,workshop,metal shears cutting through a thin sheet of aluminum,thin/thin_mechanical_0125.mp3
mass/thin,thin,mechanical,air valve,industrial plant,a pressurized air valve releasing a short burst,thin/thin_mechanical_0126.mp3
mass/thin,thin,mechanical,hand drill,woodshop,a manual hand drill boring into a piece of balsa wood,thin/thin_mechanical_0127.mp3
mass/thin,thin,mechanical,film projector,cinema,a 16mm film projector running in a small theater,thin/thin_mechanical_0128.mp3
mass/thin,thin,mechanical,telegraph key,railway station,a telegraph key tapping out a message,thin/thin_mechanical_0129.mp3
mass/thin,thin,mechanical,wind-up toy,playroom,a tin wind-up toy walking across a hardwood floor,thin/thin_mechanical_0130.mp3
mass/thin,thin,mechanical,dental drill,medical clinic,a dental drill spinning at very high speed,thin/thin_mechanical_0131.mp3
mass/thin,thin,mechanical,cash register,general store,a vintage cash register drawer sliding open,thin/thin_mechanical_0132.mp3
mass/thin,thin,mechanical,sprinkler,lawn,a mechanical lawn sprinkler rotating and clicking,thin/thin_mechanical_0133.mp3
mass/thin,thin,mechanical,escapement,clock shop,the escapement of a mechanical clock clicking rapidly,thin/thin_mechanical_0134.mp3
mass/thin,thin,mechanical,piston,laboratory,a miniature glass piston sliding in a cylinder,thin/thin_mechanical_0135.mp3
mass/thin,thin,environmental,ice,frozen lake,a thin sheet of ice cracking on a lake surface,thin/thin_environmental_0136.mp3
mass/thin,thin,environmental,rain,corrugated roof,rainwater dripping onto a corrugated metal roof,thin/thin_environmental_0137.mp3
mass/thin,thin,environmental,dry leaves,autumn forest,dry birch leaves skittering across a stone path,thin/thin_environmental_0138.mp3
mass/thin,thin,environmental,pebbles,shoreline,small pebbles grinding together in the surf,thin/thin_environmental_0139.mp3
mass/thin,thin,environmental,icicles,cave entrance,icicles shattering on a rocky ledge,thin/thin_environmental_0140.mp3
mass/thin,thin,environmental,hail,greenhouse,hailstones hitting the glass panes of a greenhouse,thin/thin_environmental_0141.mp3
mass/thin,thin,environmental,quartz rocks,desert,two quartz rocks being struck together on a floor,thin/thin_environmental_0142.mp3
mass/thin,thin,environmental,geyser,volcanic field,a small geyser hissing steam into the air,thin/thin_environmental_0143.mp3
mass/thin,thin,environmental,sand grains,dune,sand grains blowing against a glass bottle on a dune,thin/thin_environmental_0144.mp3
mass/thin,thin,environmental,bamboo stalks,bamboo grove,bamboo stalks knocking together in a light breeze,thin/thin_environmental_0145.mp3
mass/thin,thin,environmental,pine cones,forest,a dry pine cone falling onto a bed of needles,thin/thin_environmental_0146.mp3
mass/thin,thin,environmental,stream,rocky bed,a shallow stream flowing over smooth stones,thin/thin_environmental_0147.mp3
mass/thin,thin,environmental,stalactite,cave,a water drop hitting a limestone stalactite,thin/thin_environmental_0148.mp3
mass/thin,thin,environmental,frozen branch,winter woods,a frozen tree branch snapping in a quiet forest,thin/thin_environmental_0149.mp3
mass/thin,thin,environmental,salt flats,basin,salt crust cracking under a light bootstep,thin/thin_environmental_0150.mp3
mass/thin,thin,environmental,thistle,open field,dry thistle heads rubbing together in a field,thin/thin_environmental_0151.mp3
mass/thin,thin,environmental,lava,volcano,hardened lava crust fracturing near a vent,thin/thin_environmental_0152.mp3
mass/thin,thin,organic,songbird,orchard,a songbird chirping from the branch of a tree,thin/thin_organic_0153.mp3
mass/thin,thin,organic,cicada,meadow,a single cicada buzzing in a sun-drenched meadow,thin/thin_organic_0154.mp3
mass/thin,thin,organic,dry twigs,woodland,dry twigs snapping under a footstep on a path,thin/thin_organic_0155.mp3
mass/thin,thin,organic,beetle wings,garden shed,the wings of a beetle fluttering against a wall,thin/thin_organic_0156.mp3
mass/thin,thin,organic,squirrel,oak forest,a squirrel chattering from a high branch,thin/thin_organic_0157.mp3
mass/thin,thin,organic,dolphin,ocean,a dolphin clicking near the surface of the water,thin/thin_organic_0158.mp3
mass/thin,thin,organic,teeth,kitchen,an apple being bitten into with a crisp crunch,thin/thin_organic_0159.mp3
mass/thin,thin,organic,fingernails,office,fingernails tapping rapidly on a polished desk,thin/thin_organic_0160.mp3
mass/thin,thin,organic,grasshopper,tall grass,a grasshopper leaping through dry tall grass,thin/thin_organic_0161.mp3
mass/thin,thin,organic,seashells,beach,seashells clinking together in a mesh bag,thin/thin_organic_0162.mp3
mass/thin,thin,organic,bat,cavern,a bat emitting a short squeak in a dark cavern,thin/thin_organic_0163.mp3
mass/thin,thin,organic,dry reeds,riverbank,dry reeds rustling against each other in wind,thin/thin_organic_0164.mp3
mass/thin,thin,organic,walnut shells,dining room,walnut shells being cracked open with a cracker,thin/thin_organic_0165.mp3
mass/thin,thin,organic,cricket,field,a single cricket chirping in a starlit field,thin/thin_organic_0166.mp3
mass/thin,thin,organic,bones,museum,small fossilized bones being shifted in a tray,thin/thin_organic_0167.mp3
mass/thin,thin,organic,wood chips,workshop,dry wood chips falling onto a concrete floor,thin/thin_organic_0168.mp3
mass/thin,thin,organic,seed pods,savanna,dry seed pods rattling in a gust of wind,thin/thin_organic_0169.mp3
mass/thin,thin,domestic,glass carafe,breakfast nook,a glass carafe being tapped with a metal spoon,thin/thin_domestic_0170.mp3
mass/thin,thin,domestic,ceramic plate,kitchen,a ceramic plate being set down on a tiled counter,thin/thin_domestic_0171.mp3
mass/thin,thin,domestic,silverware,dining hall,silverware clinking together in a drawer,thin/thin_domestic_0172.mp3
mass/thin,thin,domestic,wine glass,restaurant,two wine glasses clinking together in a toast,thin/thin_domestic_0173.mp3
mass/thin,thin,domestic,aluminum foil,pantry,aluminum foil being crinkled into a ball,thin/thin_domestic_0174.mp3
mass/thin,thin,domestic,porcelain cup,patio,a porcelain cup sliding across a glass table,thin/thin_domestic_0175.mp3
mass/thin,thin,domestic,metal whisk,bowl,a metal whisk hitting the side of a stainless bowl,thin/thin_domestic_0176.mp3
mass/thin,thin,domestic,ice cubes,glass tumbler,ice cubes clinking in a glass tumbler,thin/thin_domestic_0177.mp3
mass/thin,thin,domestic,keychain,entryway,a metal keychain falling onto a hardwood floor,thin/thin_domestic_0178.mp3
mass/thin,thin,domestic,plastic lid,laundry room,a plastic lid snapping onto a container,thin/thin_domestic_0179.mp3
mass/thin,thin,domestic,spray can,garage,a spray can being shaken with a metal ball,thin/thin_domestic_0180.mp3
mass/thin,thin,domestic,beaded curtain,doorway,a beaded curtain swaying in a breeze,thin/thin_domestic_0181.mp3
mass/thin,thin,domestic,crystal vase,living room,a crystal vase being lightly struck by a ring,thin/thin_domestic_0182.mp3
mass/thin,thin,domestic,tin can,driveway,a tin can rolling across a concrete driveway,thin/thin_domestic_0183.mp3
mass/thin,thin,domestic,mirror,dressing room,a hand mirror being placed on a marble vanity,thin/thin_domestic_0184.mp3
mass/thin,thin,domestic,zipper,closet,a metal zipper being pulled up quickly,thin/thin_domestic_0185.mp3
mass/thin,thin,domestic,thimble,sewing room,a metal thimble tapping against a glass jar,thin/thin_domestic_0186.mp3
mass/thin,thin,electronic,spark gap,physics lab,a spark jumping across a small gap,thin/thin_electronic_0187.mp3
mass/thin,thin,electronic,piezo buzzer,control room,a piezo buzzer emitting a short pulse,thin/thin_electronic_0188.mp3
mass/thin,thin,electronic,capacitor,repair shop,a small capacitor discharging with a pop,thin/thin_electronic_0189.mp3
mass/thin,thin,electronic,relay switch,telecom hub,a mechanical relay switch clicking,thin/thin_electronic_0190.mp3
mass/thin,thin,electronic,fluorescent bulb,warehouse,a fluorescent bulb flickering as it turns on,thin/thin_electronic_0191.mp3
mass/thin,thin,electronic,static,radio tower,a burst of static from a handheld radio,thin/thin_electronic_0192.mp3
mass/thin,thin,electronic,hard drive,server room,a hard drive platter spinning up,thin/thin_electronic_0193.mp3
mass/thin,thin,electronic,circuit board,assembly line,a circuit board being snapped into a housing,thin/thin_electronic_0194.mp3
mass/thin,thin,electronic,led switch,dashboard,a tactile led switch being pressed,thin/thin_electronic_0195.mp3
mass/thin,thin,electronic,solenoid,vending machine,a solenoid firing inside a machine,thin/thin_electronic_0196.mp3
mass/thin,thin,electronic,vacuum tube,radio workshop,a vacuum tube being inserted into a socket,thin/thin_electronic_0197.mp3
mass/thin,thin,electronic,motherboard,tech lab,a metal stylus tapping a trace on a board,thin/thin_electronic_0198.mp3
mass/thin,thin,electronic,transformer,utility pole,a transformer humming with a high buzz,thin/thin_electronic_0199.mp3
mass/thin,thin,electronic,geiger counter,abandoned site,a geiger counter clicking rapidly,thin/thin_electronic_0200.mp3
mass/thin,thin,electronic,modem,home office,a vintage modem connecting with high tones,thin/thin_electronic_0201.mp3
mass/thin,thin,electronic,pigtail wire,workbench,two thin wires sparking when touched,thin/thin_electronic_0202.mp3
mass/thin,thin,electronic,oscillator,music studio,an analog oscillator set to a high frequency,thin/thin_electronic_0203.mp3
mass/thin,empty,musical,bamboo pipe,zen garden,a hollow bamboo pipe being tapped with a fingernail,empty/empty_musical_0103.mp3
mass/thin,empty,musical,clay ocarina,ruined temple,a clay ocarina blowing a breathy hollow note,empty/empty_musical_0104.mp3
mass/thin,empty,musical,drum,rehearsal room,a large drum being struck with a soft mallet while hollow,empty/empty_musical_0105.mp3
mass/thin,empty,musical,pan flute,mountain side,a pan flute blowing across a vacant tube,empty/empty_musical_0106.mp3
mass/thin,empty,musical,wooden flute,forest clearing,a wooden flute playing a single low note,empty/empty_musical_0107.mp3
mass/thin,empty,musical,marimba,theatre stage,a low marimba bar being struck once in an empty hall,empty/empty_musical_0108.mp3
mass/thin,empty,musical,singing bowl,monastery,a hollow singing bowl vibrating in a silent room,empty/empty_musical_0109.mp3
mass/thin,empty,musical,organ pipe,cathedral,a single wooden organ pipe blowing a breathy tone,empty/empty_musical_0110.mp3
mass/thin,empty,musical,cello,stone cellar,a cello playing a low note in a large empty cellar,empty/empty_musical_0111.mp3
mass/thin,empty,musical,djembe,beach,a djembe being struck on the edge in a wide open space,empty/empty_musical_0112.mp3
mass/thin,empty,musical,harp,ballroom,a harp string being plucked in a massive vacant room,empty/empty_musical_0113.mp3
mass/thin,empty,musical,recorder,classroom,a plastic recorder blowing a hollow tone,empty/empty_musical_0114.mp3
mass/thin,empty,musical,zither,attic,a zither string vibrating in a large empty attic,empty/empty_musical_0115.mp3
mass/thin,empty,musical,shakers,yoga studio,a hollow shaker being moved slowly,empty/empty_musical_0116.mp3
mass/thin,empty,musical,thumb piano,veranda,a thumb piano tine being plucked over a hollow box,empty/empty_musical_0117.mp3
mass/thin,empty,musical,didgeridoo,cave,a didgeridoo blowing a drone in a limestone cave,empty/empty_musical_0118.mp3
mass/thin,empty,musical,steel drum,park,a steel drum being struck in a wide open park,empty/empty_musical_0119.mp3
mass/thin,empty,mechanical,fuel tank,shipyard,an empty metal fuel tank being struck by a hammer,empty/empty_mechanical_0120.mp3
mass/thin,empty,mechanical,oil drum,factory,a hollow oil drum rolling across a concrete floor,empty/empty_mechanical_0121.mp3
mass/thin,empty,mechanical,ventilation shaft,skyscraper,wind whistling through a large vacant vent,empty/empty_mechanical_0122.mp3
mass/thin,empty,mechanical,boiler,basement,a large empty boiler echoing after being tapped,empty/empty_mechanical_0123.mp3
mass/thin,empty,mechanical,gearbox,garage,an empty gearbox housing being shifted on a bench,empty/empty_mechanical_0124.mp3
mass/thin,empty,mechanical,elevator shaft,apartment,an elevator cable rattling in a hollow shaft,empty/empty_mechanical_0125.mp3
mass/thin,empty,mechanical,piston,engine room,a piston moving in a large unlubricated cylinder,empty/empty_mechanical_0126.mp3
mass/thin,empty,mechanical,container,dockyard,a hollow shipping container being set down,empty/empty_mechanical_0127.mp3
mass/thin,empty,mechanical,silo,farm,a metal grain silo echoing with a single footstep,empty/empty_mechanical_0128.mp3
mass/thin,empty,mechanical,tunnel,subway,a train horn echoing through a vacant tunnel,empty/empty_mechanical_0129.mp3
mass/thin,empty,mechanical,pipe,construction site,a large hollow steel pipe falling on dirt,empty/empty_mechanical_0130.mp3
mass/thin,empty,mechanical,exhaust,workshop,a hollow exhaust pipe being tapped with a wrench,empty/empty_mechanical_0131.mp3
mass/thin,empty,mechanical,radiator,school,a hollow radiator hissing in an empty classroom,empty/empty_mechanical_0132.mp3
mass/thin,empty,mechanical,safe,bank,an empty steel safe door swinging on its hinges,empty/empty_mechanical_0133.mp3
mass/thin,empty,mechanical,toolbox,garage,an empty metal toolbox being closed,empty/empty_mechanical_0134.mp3
mass/thin,empty,mechanical,barrel,warehouse,a hollow wooden barrel being tapped by a stick,empty/empty_mechanical_0135.mp3
mass/thin,empty,mechanical,chute,laundry room,a metal laundry chute echoing with a falling object,empty/empty_mechanical_0136.mp3
mass/thin,empty,environmental,sea cave,shoreline,waves echoing deep inside a vacant sea cave,empty/empty_environmental_0137.mp3
mass/thin,empty,environmental,canyon,desert,a distant shout echoing in a wide empty canyon,empty/empty_environmental_0138.mp3
mass/thin,empty,environmental,hollow log,forest,a hollow log being struck by a fallen branch,empty/empty_environmental_0139.mp3
mass/thin,empty,environmental,ice cave,glacier,water dripping in a hollow ice cave,empty/empty_environmental_0140.mp3
mass/thin,empty,environmental,well,farm,a pebble falling into a deep empty well,empty/empty_environmental_0141.mp3
mass/thin,empty,environmental,volcanic tube,crater,wind whistling through a hollow volcanic tube,empty/empty_environmental_0142.mp3
mass/thin,empty,environmental,shell,beach,wind blowing across the opening of a large shell,empty/empty_environmental_0143.mp3
mass/thin,empty,environmental,underpass,highway,a car horn echoing under a vacant concrete bridge,empty/empty_environmental_0144.mp3
mass/thin,empty,environmental,cistern,village,rain falling into a large empty stone cistern,empty/empty_environmental_0145.mp3
mass/thin,empty,environmental,burrow,meadow,a hollow burrow echoing with a small animal's call,empty/empty_environmental_0146.mp3
mass/thin,empty,environmental,crevice,mountain,a rock falling down a deep empty crevice,empty/empty_environmental_0147.mp3
mass/thin,empty,environmental,culvert,roadside,water rushing through a hollow metal culvert,empty/empty_environmental_0148.mp3
mass/thin,empty,environmental,valley,plateau,a thunderclap echoing across a wide empty valley,empty/empty_environmental_0149.mp3
mass/thin,empty,environmental,gorge,river,a boat motor echoing in a narrow empty gorge,empty/empty_environmental_0150.mp3
mass/thin,empty,environmental,chamber,catacomb,a footstep echoing in an empty stone chamber,empty/empty_environmental_0151.mp3
mass/thin,empty,environmental,dome,observatory,a whisper echoing in a large vacant dome,empty/empty_environmental_0152.mp3
mass/thin,empty,environmental,crater,moonscape,a rock slide echoing in a hollow crater,empty/empty_environmental_0153.mp3
mass/thin,empty,organic,gourd,garden,a dried hollow gourd being shaken with one seed,empty/empty_organic_0154.mp3
mass/thin,empty,organic,chest,bedroom,a hollow thud from a hand striking a person's chest,empty/empty_organic_0155.mp3
mass/thin,empty,organic,skull,museum,a large animal skull being tapped with a wooden stick,empty/empty_organic_0156.mp3
mass/thin,empty,organic,bamboo,grove,a hollow bamboo stalk snapping in the wind,empty/empty_organic_0157.mp3
mass/thin,empty,organic,reeds,marsh,wind whistling through a hollow broken reed,empty/empty_organic_0158.mp3
mass/thin,empty,organic,bark,woods,hollow bark being peeled from a dead tree trunk,empty/empty_organic_0159.mp3
mass/thin,empty,organic,seed pod,savanna,a large hollow seed pod rattling in the wind,empty/empty_organic_0160.mp3
mass/thin,empty,organic,stomach,kitchen,a hollow gurgle from an empty stomach,empty/empty_organic_0161.mp3
mass/thin,empty,organic,bones,tomb,a hollow bone falling onto a stone floor,empty/empty_organic_0162.mp3
mass/thin,empty,organic,nest,attic,a hollow bird's nest being shifted in a corner,empty/empty_organic_0163.mp3
mass/thin,empty,organic,scales,terrarium,a snake's scales sliding over a hollow log,empty/empty_organic_0164.mp3
mass/thin,empty,organic,beak,poultry farm,a bird's beak pecking at a hollow plastic tray,empty/empty_organic_0165.mp3
mass/thin,empty,organic,hooves,stable,a horse's hooves clopping on a hollow wooden floor,empty/empty_organic_0166.mp3
mass/thin,empty,organic,shells,tide pool,a hollow crab shell being washed by waves,empty/empty_organic_0167.mp3
mass/thin,empty,organic,antlers,tundra,hollow antlers clashing in a frozen field,empty/empty_organic_0168.mp3
mass/thin,empty,organic,wood,workshop,a piece of hollow driftwood being snapped,empty/empty_organic_0169.mp3
mass/thin,empty,organic,feathers,aviary,a bird's wings flapping in a hollow enclosure,empty/empty_organic_0170.mp3
mass/thin,empty,domestic,ceramic vase,living room,an empty ceramic vase being tapped with a pencil,empty/empty_domestic_0171.mp3
mass/thin,empty,domestic,glass jar,pantry,an empty glass jar being set on a wooden shelf,empty/empty_domestic_0172.mp3
mass/thin,empty,domestic,tin can,kitchen,an empty tin can rolling on a tiled floor,empty/empty_domestic_0173.mp3
mass/thin,empty,domestic,suitcase,bedroom,an empty hard-shell suitcase being closed,empty/empty_domestic_0174.mp3
mass/thin,empty,domestic,pot,kitchen,an empty stainless steel pot being struck by a spoon,empty/empty_domestic_0175.mp3
mass/thin,empty,domestic,box,garage,an empty cardboard box being kicked across a floor,empty/empty_domestic_0176.mp3
mass/thin,empty,domestic,drawer,office,an empty wooden drawer sliding in its tracks,empty/empty_domestic_0177.mp3
mass/thin,empty,domestic,wardrobe,bedroom,a hand knocking on the door of an empty wardrobe,empty/empty_domestic_0178.mp3
mass/thin,empty,domestic,bucket,garden,an empty plastic bucket being dropped on grass,empty/empty_domestic_0179.mp3
mass/thin,empty,domestic,trash can,alley,an empty metal trash can being hit by a ball,empty/empty_domestic_0180.mp3
mass/thin,empty,domestic,cup,dining room,an empty porcelain cup being set on a table,empty/empty_domestic_0181.mp3
mass/thin,empty,domestic,closet,hallway,a footstep echoing in a large empty closet,empty/empty_domestic_0182.mp3
mass/thin,empty,domestic,jug,basement,an empty plastic jug being squeezed and released,empty/empty_domestic_0183.mp3
mass/thin,empty,domestic,kettle,stove,an empty tea kettle being placed on a burner,empty/empty_domestic_0184.mp3
mass/thin,empty,domestic,sink,bathroom,a water drop hitting the bottom of an empty sink,empty/empty_domestic_0185.mp3
mass/thin,empty,domestic,trunk,attic,an empty wooden trunk lid slamming shut,empty/empty_domestic_0186.mp3
mass/thin,empty,domestic,hallway,manor,a door slamming at the end of an empty hallway,empty/empty_domestic_0187.mp3
mass/thin,empty,electronic,speaker,auditorium,a speaker humming in a large vacant auditorium,empty/empty_electronic_0188.mp3
mass/thin,empty,electronic,chassis,workshop,a hollow metal computer chassis being tapped,empty/empty_electronic_0189.mp3
mass/thin,empty,electronic,cabinet,server room,an empty server rack humming in a quiet room,empty/empty_electronic_0190.mp3
mass/thin,empty,electronic,vacuum tube,lab,a large vacuum tube being tapped by a finger,empty/empty_electronic_0191.mp3
mass/thin,empty,electronic,housing,factory,a hollow plastic electronics housing being dropped,empty/empty_electronic_0192.mp3
mass/thin,empty,electronic,monitor,office,the hollow thud of a finger hitting a crt screen,empty/empty_electronic_0193.mp3
mass/thin,empty,electronic,radio,living room,a hollow buzz from a radio between stations,empty/empty_electronic_0194.mp3
mass/thin,empty,electronic,telephone,hallway,a telephone ringing in a large empty house,empty/empty_electronic_0195.mp3
mass/thin,empty,electronic,circuit,bench,a circuit board being snapped into a hollow case,empty/empty_electronic_0196.mp3
mass/thin,empty,electronic,fluorescent,warehouse,a light flickering in a large vacant warehouse,empty/empty_electronic_0197.mp3
mass/thin,empty,electronic,transformer,closet,a transformer humming in an empty utility closet,empty/empty_electronic_0198.mp3
mass/thin,empty,electronic,sensor,hallway,a motion sensor clicking in an empty building,empty/empty_electronic_0199.mp3
mass/thin,empty,electronic,joystick,arcade,a hollow plastic joystick being moved rapidly,empty/empty_electronic_0200.mp3
mass/thin,empty,electronic,keypad,lobby,a hollow click from a keypad in a silent lobby,empty/empty_electronic_0201.mp3
mass/thin,empty,electronic,fan,server farm,a fan whirring in an empty server aisle,empty/empty_electronic_0202.mp3
mass/thin,empty,electronic,capacitor,lab,a hollow pop from a large capacitor discharging,empty/empty_electronic_0203.mp3
mass/thin,empty,electronic,modem,office,a modem screeching in an empty office suite,empty/empty_electronic_0204.mp3
mass/thin,light,musical,tiny bell,shrine,a tiny brass bell being struck by a silk thread,light/light_musical_0103.mp3
mass/thin,light,musical,glockenspiel,nursery,a glockenspiel note played with a soft mallet,light/light_musical_0104.mp3
mass/thin,light,musical,triangle,studio,a triangle being struck with a very thin wire,light/light_musical_0105.mp3
mass/thin,light,musical,celesta,fairground,a celesta playing a delicate high melody,light/light_musical_0106.mp3
mass/thin,light,musical,wind chimes,porch,metal wind chimes fluttering in a gentle breeze,light/light_musical_0107.mp3
mass/thin,light,musical,tambourine,stage,a tambourine being shaken very lightly by hand,light/light_musical_0108.mp3
mass/thin,light,musical,shakers,beach,egg shakers being pulsed rhythmically,light/light_musical_0109.mp3
mass/thin,light,musical,harp,bedroom,a harp string being plucked with a fingertip,light/light_musical_0110.mp3
mass/thin,light,musical,ukulele,veranda,a ukulele being strummed very softly,light/light_musical_0111.mp3
mass/thin,light,musical,mark tree,concert hall,a mark tree being swept by a light brush,light/light_musical_0112.mp3
mass/thin,light,musical,rainstick,studio,a rainstick being tilted very slowly,light/light_musical_0113.mp3
mass/thin,light,musical,flute,meadow,a silver flute playing a breathy trill,light/light_musical_0114.mp3
mass/thin,light,musical,kalimba,garden,a kalimba tine being plucked delicately,light/light_musical_0115.mp3
mass/thin,light,musical,zither,tea house,a zither string vibrating in a quiet room,light/light_musical_0116.mp3
mass/thin,light,musical,piccolo,park,a piccolo playing a short bird-like note,light/light_musical_0117.mp3
mass/thin,light,musical,finger cymbals,temple,a pair of finger cymbals clinking softly,light/light_musical_0118.mp3
mass/thin,light,musical,toy piano,playroom,a toy piano playing a tinkling tune,light/light_musical_0119.mp3
mass/thin,light,mechanical,pocket watch,bedside,a small pocket watch ticking on a nightstand,light/light_mechanical_0120.mp3
mass/thin,light,mechanical,plastic gear,lab,a small plastic gear spinning on a needle,light/light_mechanical_0121.mp3
mass/thin,light,mechanical,camera,gallery,a modern camera shutter clicking softly,light/light_mechanical_0122.mp3
mass/thin,light,mechanical,bicycle bell,park,a bicycle bell being tapped once,light/light_mechanical_0123.mp3
mass/thin,light,mechanical,typewriter,study,a typewriter key being pressed very lightly,light/light_mechanical_0124.mp3
mass/thin,light,mechanical,fan,bedroom,a small desk fan whirring on a low setting,light/light_mechanical_0125.mp3
mass/thin,light,mechanical,escapement,workshop,the escapement of a watch ticking rapidly,light/light_mechanical_0126.mp3
mass/thin,light,mechanical,piston,laboratory,a miniature piston moving with a light click,light/light_mechanical_0127.mp3
mass/thin,light,mechanical,switch,office,a small plastic rocker switch being flipped,light/light_mechanical_0128.mp3
mass/thin,light,mechanical,wind-up toy,nursery,a small plastic toy walking on a rug,light/light_mechanical_0129.mp3
mass/thin,light,mechanical,solenoid,electronics lab,a tiny solenoid clicking as it fires,light/light_mechanical_0130.mp3
mass/thin,light,mechanical,pulley,attic,a small plastic pulley turning with a thread,light/light_mechanical_0131.mp3
mass/thin,light,mechanical,sewing machine,studio,a sewing machine needle stitching silk,light/light_mechanical_0132.mp3
mass/thin,light,mechanical,shutter,photolab,a light-tight shutter clicking in a darkroom,light/light_mechanical_0133.mp3
mass/thin,light,mechanical,dial,radio shop,a small plastic dial clicking as it turns,light/light_mechanical_0134.mp3
mass/thin,light,mechanical,meter,lab,a needle on an analog meter tapping its stop,light/light_mechanical_0135.mp3
mass/thin,light,mechanical,stylus,booth,a record stylus being lowered onto a vinyl disk,light/light_mechanical_0136.mp3
mass/thin,light,mechanical,vent,office,a small air vent fluttering in a light breeze,light/light_mechanical_0137.mp3
mass/thin,light,environmental,snow,meadow,dry snow skittering across a frozen lake surface,light/light_environmental_0138.mp3
mass/thin,light,environmental,leaves,garden,dry birch leaves rustling in a light wind,light/light_environmental_0139.mp3
mass/thin,light,environmental,mist,waterfall,mist from a waterfall hitting a cluster of leaves,light/light_environmental_0140.mp3
mass/thin,light,environmental,rain,greenhouse,light rain pattering on a glass roof,light/light_environmental_0141.mp3
mass/thin,light,environmental,sand,desert,sand grains hitting a metal sign in the wind,light/light_environmental_0142.mp3
mass/thin,light,environmental,ice,shoreline,thin ice crystals clinking in the wash of a wave,light/light_environmental_0143.mp3
mass/thin,light,environmental,thistle,field,dry thistle heads rubbing together in wind,light/light_environmental_0144.mp3
mass/thin,light,environmental,pine needles,forest,pine needles falling onto a dry wooden deck,light/light_environmental_0145.mp3
mass/thin,light,environmental,frost,morning,frost crystals snapping on a metal chair,light/light_environmental_0146.mp3
mass/thin,light,environmental,stream,woods,a shallow stream gurgling over smooth stones,light/light_environmental_0147.mp3
mass/thin,light,environmental,pebbles,beach,small pebbles sliding down a sandy slope,light/light_environmental_0148.mp3
